player_id,scenario_id,scenario,action,empathy_response,confidence_response
P019,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,4.2,3.91
P019,5,Bạn bị quay video và chia sẻ,Không làm gì,3.88,3.33
P020,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,3.68,3.37
P020,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,4.07,3.57
P020,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,3.48,3.59
P020,4,Phát hiện bình luận xúc phạm,Không làm gì,3.23,3.3
P020,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.87,3.38
P021,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,3.95,3.42
P021,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,4.51,3.47
P021,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,4.46,3.1
P021,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,3.85,3.67
P021,5,Bạn bị quay video và chia sẻ,Báo giáo viên,4.13,3.23
P022,1,Video bắt nạt trong nhóm chat,Báo giáo viên,3.39,2.87
P022,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.17,3.27
P022,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,2.9,2.96
P022,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.07,2.8
P022,5,Bạn bị quay video và chia sẻ,Không làm gì,3.44,2.86
P023,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,3.14,3.54
P023,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,2.92,3.06
P023,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,2.75,2.78
P023,4,Phát hiện bình luận xúc phạm,Báo giáo viên,3.52,2.99
P023,5,Bạn bị quay video và chia sẻ,Không làm gì,2.95,3.2
P024,1,Video bắt nạt trong nhóm chat,Không làm gì,4.31,3.32
P024,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,4.45,2.97
P024,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.19,3.19
P024,4,Phát hiện bình luận xúc phạm,Không làm gì,4.17,3.52
P024,5,Bạn bị quay video và chia sẻ,Không làm gì,4.35,3.3
P025,1,Video bắt nạt trong nhóm chat,Báo giáo viên,4.04,4.28
P025,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.92,3.67
P025,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,3.97,3.83
P025,4,Phát hiện bình luận xúc phạm,Không làm gì,3.74,4.14
P025,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,4.18,4.0
P026,1,Video bắt nạt trong nhóm chat,Không làm gì,3.94,4.18
P026,2,Chứng kiến bạn bị cô lập,Không làm gì,3.92,4.4
P026,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.0,3.31
P026,4,Phát hiện bình luận xúc phạm,Báo giáo viên,4.05,3.85
P026,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,4.18,3.92
P027,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,4.88,4.19
P027,2,Chứng kiến bạn bị cô lập,Báo giáo viên,4.86,4.29
P027,3,Bạn bè rủ tham gia bắt nạt,Báo giáo viên,4.76,4.65
P027,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,5.0,4.6
P027,5,Bạn bị quay video và chia sẻ,Báo giáo viên,4.61,4.61
P028,1,Video bắt nạt trong nhóm chat,Báo giáo viên,4.75,3.34
P028,2,Chứng kiến bạn bị cô lập,Báo giáo viên,4.42,3.49
P028,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,4.25,3.65
P028,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,4.42,3.59
P028,5,Bạn bị quay video và chia sẻ,Báo giáo viên,4.23,3.38
P029,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,3.72,2.85
P029,2,Chứng kiến bạn bị cô lập,Không làm gì,3.97,2.84
P029,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.6,3.17
P029,4,Phát hiện bình luận xúc phạm,Không làm gì,3.19,2.5
P029,5,Bạn bị quay video và chia sẻ,Không làm gì,3.16,3.26
P030,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,3.74,4.67
P030,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.74,4.08
P030,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,4.27,4.53
P030,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,4.4,4.33
P030,5,Bạn bị quay video và chia sẻ,Báo giáo viên,4.14,4.18
P031,1,Video bắt nạt trong nhóm chat,Không làm gì,4.3,3.11
P031,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,3.91,3.25
P031,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.07,3.14
P031,4,Phát hiện bình luận xúc phạm,Không làm gì,4.28,3.49
P031,5,Bạn bị quay video và chia sẻ,Không làm gì,4.13,3.62
P032,1,Video bắt nạt trong nhóm chat,Báo giáo viên,3.72,3.56
P032,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.83,3.14
P032,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.99,3.58
P032,4,Phát hiện bình luận xúc phạm,Báo giáo viên,4.39,3.77
P032,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,3.75,4.07
P033,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,4.15,3.01
P033,2,Chứng kiến bạn bị cô lập,Không làm gì,3.78,2.62
P033,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.75,3.13
P033,4,Phát hiện bình luận xúc phạm,Báo giáo viên,4.31,3.25
P033,5,Bạn bị quay video và chia sẻ,Không làm gì,3.72,2.58
P034,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,3.78,2.41
P034,2,Chứng kiến bạn bị cô lập,Không làm gì,3.82,2.81
P034,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.62,2.45
P034,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.87,2.72
P034,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.45,2.13
P035,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,2.79,2.8
P035,2,Chứng kiến bạn bị cô lập,Báo giáo viên,3.22,2.25
P035,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,2.65,2.48
P035,4,Phát hiện bình luận xúc phạm,Báo giáo viên,2.55,2.44
P035,5,Bạn bị quay video và chia sẻ,Không làm gì,2.99,2.67
P036,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,4.04,4.27
P036,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.85,4.11
P036,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,4.01,4.41
P036,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,4.3,4.12
P036,5,Bạn bị quay video và chia sẻ,Báo giáo viên,4.44,4.25
P037,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,3.19,2.81
P037,2,Chứng kiến bạn bị cô lập,Không làm gì,2.59,3.22
P037,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,3.38,2.93
P037,4,Phát hiện bình luận xúc phạm,Không làm gì,3.22,3.13
P037,5,Bạn bị quay video và chia sẻ,Báo giáo viên,2.81,2.87
P038,1,Video bắt nạt trong nhóm chat,Báo giáo viên,4.35,2.55
P038,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,4.22,2.52
P038,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,4.27,2.85
P038,4,Phát hiện bình luận xúc phạm,Báo giáo viên,3.75,3.15
P038,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,3.97,2.66
P039,1,Video bắt nạt trong nhóm chat,Báo giáo viên,3.29,3.82
P039,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,2.99,3.55
P039,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.35,3.7
P039,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,3.28,3.44
P039,5,Bạn bị quay video và chia sẻ,Không làm gì,3.03,3.55
P040,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,4.73,3.92
P040,2,Chứng kiến bạn bị cô lập,Báo giáo viên,5.0,4.88
P040,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,4.41,4.4
P040,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,5.0,5.0
P040,5,Bạn bị quay video và chia sẻ,Báo giáo viên,5.0,4.47
P041,1,Video bắt nạt trong nhóm chat,Không làm gì,3.13,3.4
P041,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.02,2.86
P041,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,3.06,2.82
P041,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.21,3.47
P041,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,3.26,3.0
P042,1,Video bắt nạt trong nhóm chat,Báo giáo viên,3.32,2.51
P042,2,Chứng kiến bạn bị cô lập,Không làm gì,3.61,2.88
P042,3,Bạn bè rủ tham gia bắt nạt,Báo giáo viên,3.34,3.7
P042,4,Phát hiện bình luận xúc phạm,Không làm gì,3.46,2.71
P042,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.28,3.19
P043,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,5.0,4.51
P043,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,5.0,4.7
P043,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,5.0,5.0
P043,4,Phát hiện bình luận xúc phạm,Không làm gì,4.89,5.0
P043,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,5.0,5.0
P044,1,Video bắt nạt trong nhóm chat,Báo giáo viên,4.11,3.86
P044,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,3.83,4.33
P044,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.91,3.97
P044,4,Phát hiện bình luận xúc phạm,Báo giáo viên,3.75,4.18
P044,5,Bạn bị quay video và chia sẻ,Không làm gì,4.51,3.8
P045,1,Video bắt nạt trong nhóm chat,Không làm gì,3.55,3.01
P045,2,Chứng kiến bạn bị cô lập,Báo giáo viên,3.52,2.77
P045,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,3.27,2.77
P045,4,Phát hiện bình luận xúc phạm,Không làm gì,3.49,2.91
P045,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,3.84,3.31
P046,1,Video bắt nạt trong nhóm chat,Không làm gì,4.78,3.35
P046,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,4.69,3.18
P046,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.72,3.2
P046,4,Phát hiện bình luận xúc phạm,Báo giáo viên,4.68,3.6
P046,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,4.39,3.55
P047,1,Video bắt nạt trong nhóm chat,Báo giáo viên,4.16,3.18
P047,2,Chứng kiến bạn bị cô lập,Báo giáo viên,3.3,3.06
P047,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,4.15,3.2
P047,4,Phát hiện bình luận xúc phạm,Báo giáo viên,3.58,3.08
P047,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,4.04,3.35
P048,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,4.67,3.35
P048,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,4.63,3.21
P048,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,5.0,3.36
P048,4,Phát hiện bình luận xúc phạm,Báo giáo viên,5.0,3.82
P048,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,4.98,3.33
P049,1,Video bắt nạt trong nhóm chat,Báo giáo viên,3.98,3.22
P049,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,3.65,3.31
P049,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,3.59,3.53
P049,4,Phát hiện bình luận xúc phạm,Báo giáo viên,3.76,3.28
P049,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,3.95,3.17
P050,1,Video bắt nạt trong nhóm chat,Không làm gì,4.08,3.1
P050,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,4.15,2.88
P050,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,3.96,3.7
P050,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,3.68,3.05
P050,5,Bạn bị quay video và chia sẻ,Báo giáo viên,4.06,3.26
P051,1,Video bắt nạt trong nhóm chat,Không làm gì,3.25,2.92
P051,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.32,3.08
P051,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.26,2.74
P051,4,Phát hiện bình luận xúc phạm,Báo giáo viên,3.33,3.27
P051,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,3.13,2.56
P052,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,4.81,3.64
P052,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,3.99,3.88
P052,3,Bạn bè rủ tham gia bắt nạt,Báo giáo viên,4.4,3.65
P052,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,4.61,3.72
P052,5,Bạn bị quay video và chia sẻ,Không làm gì,4.71,3.56
P053,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,4.37,4.19
P053,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,4.42,4.4
P053,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,4.01,4.52
P053,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,4.11,4.45
P053,5,Bạn bị quay video và chia sẻ,Không làm gì,4.33,4.71
P054,1,Video bắt nạt trong nhóm chat,Không làm gì,3.85,3.43
P054,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.91,3.44
P054,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.11,3.12
P054,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.65,3.25
P054,5,Bạn bị quay video và chia sẻ,Không làm gì,4.15,3.95
P055,1,Video bắt nạt trong nhóm chat,Báo giáo viên,3.02,2.32
P055,2,Chứng kiến bạn bị cô lập,Không làm gì,3.07,2.65
P055,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,2.82,2.42
P055,4,Phát hiện bình luận xúc phạm,Không làm gì,3.29,2.49
P055,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.1,2.61
P056,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,3.01,3.13
P056,2,Chứng kiến bạn bị cô lập,Báo giáo viên,3.53,2.5
P056,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.82,3.3
P056,4,Phát hiện bình luận xúc phạm,Không làm gì,3.66,3.2
P056,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,4.09,3.29
P057,1,Video bắt nạt trong nhóm chat,Không làm gì,3.57,3.12
P057,2,Chứng kiến bạn bị cô lập,Không làm gì,3.18,2.53
P057,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.1,2.72
P057,4,Phát hiện bình luận xúc phạm,Không làm gì,3.7,2.89
P057,5,Bạn bị quay video và chia sẻ,Không làm gì,3.19,3.07
P058,1,Video bắt nạt trong nhóm chat,Không làm gì,3.87,3.7
P058,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.7,3.33
P058,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.67,2.95
P058,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.71,3.27
P058,5,Bạn bị quay video và chia sẻ,Không làm gì,3.75,3.11
P059,1,Video bắt nạt trong nhóm chat,Không làm gì,2.88,3.01
P059,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,2.85,3.22
P059,3,Bạn bè rủ tham gia bắt nạt,Báo giáo viên,3.25,2.67
P059,4,Phát hiện bình luận xúc phạm,Không làm gì,3.15,2.84
P059,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.31,3.37
P060,1,Video bắt nạt trong nhóm chat,Hỗ trợ nạn nhân,3.22,2.93
P060,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.65,3.07
P060,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,3.74,2.71
P060,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.61,2.7
P060,5,Bạn bị quay video và chia sẻ,Không làm gì,3.96,2.91
P061,1,Video bắt nạt trong nhóm chat,Không làm gì,4.52,4.5
P061,2,Chứng kiến bạn bị cô lập,Báo giáo viên,3.86,4.14
P061,3,Bạn bè rủ tham gia bắt nạt,Báo giáo viên,3.59,4.12
P061,4,Phát hiện bình luận xúc phạm,Báo giáo viên,4.11,4.65
P061,5,Bạn bị quay video và chia sẻ,Không làm gì,3.64,4.74
P062,1,Video bắt nạt trong nhóm chat,Không làm gì,3.73,3.6
P062,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,4.25,3.78
P062,3,Bạn bè rủ tham gia bắt nạt,Can thiệp trực tiếp,3.78,3.34
P062,4,Phát hiện bình luận xúc phạm,Báo giáo viên,3.31,3.38
P062,5,Bạn bị quay video và chia sẻ,Báo giáo viên,3.8,3.31
P063,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,4.61,4.62
P063,2,Chứng kiến bạn bị cô lập,Hỗ trợ nạn nhân,4.58,4.44
P063,3,Bạn bè rủ tham gia bắt nạt,Báo giáo viên,4.68,4.71
P063,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,4.37,4.95
P063,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,4.62,4.6
P064,1,Video bắt nạt trong nhóm chat,Không làm gì,5.0,3.92
P064,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,5.0,3.93
P064,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.85,3.95
P064,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,4.71,3.89
P064,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,4.99,3.81
P065,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,3.18,2.75
P065,2,Chứng kiến bạn bị cô lập,Can thiệp trực tiếp,3.07,3.24
P065,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,3.25,2.96
P065,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.53,3.0
P065,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,3.45,3.33
P066,1,Video bắt nạt trong nhóm chat,Báo giáo viên,2.96,3.79
P066,2,Chứng kiến bạn bị cô lập,Không làm gì,2.82,3.58
P066,3,Bạn bè rủ tham gia bắt nạt,Hỗ trợ nạn nhân,3.37,3.18
P066,4,Phát hiện bình luận xúc phạm,Can thiệp trực tiếp,3.47,3.29
P066,5,Bạn bị quay video và chia sẻ,Không làm gì,3.19,3.42
P067,1,Video bắt nạt trong nhóm chat,Không làm gì,2.56,3.68
P067,2,Chứng kiến bạn bị cô lập,Không làm gì,2.79,3.04
P067,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,2.92,3.06
P067,4,Phát hiện bình luận xúc phạm,Báo giáo viên,2.85,3.76
P067,5,Bạn bị quay video và chia sẻ,Hỗ trợ nạn nhân,2.32,3.38
P068,1,Video bắt nạt trong nhóm chat,Can thiệp trực tiếp,3.42,3.43
P068,2,Chứng kiến bạn bị cô lập,Báo giáo viên,3.62,3.67
P068,3,Bạn bè rủ tham gia bắt nạt,Không làm gì,4.03,3.83
P068,4,Phát hiện bình luận xúc phạm,Hỗ trợ nạn nhân,3.56,3.43
P068,5,Bạn bị quay video và chia sẻ,Can thiệp trực tiếp,3.28,3.28
P069,1,Video bắt nạt trong nhóm chat,Báo giáo viên,4.02,4.19
